REGION,ISLAND,Max Wave,Mean Wave,Min Wave,Max SST,Mean SST,Min SST,Max Chl,Mean Chl,Min Chl,Max PAR,Mean PAR,Min PAR
Mariana,ROT,54.81000955,16.89064704,3.934468512,28.81,28.29893077,26.84,0.045843507,0.0312371,0.021349582,53.25373444,43.65848386,36.06518889
Mariana,GUA,49.24188919,15.53981399,3.817593593,28.77,28.28871538,26.98,0.058293266,0.035696872,0.024309078,52.23208313,42.63685677,34.14455021
Equatorial,KIN,101.8973416,30.32067655,9.678250443,28.82,27.98376154,27.37,0.213290571,0.125122731,0.059327071,45.11356944,39.05314468,32.31417917
Equatorial,PAL,101.8973416,30.32067655,9.678250443,28.76,27.97248462,27.3,0.186187024,0.124903998,0.052089095,46.72459899,39.20925613,32.02107273
Equatorial,HOW,67.10609277,21.49069311,8.075362104,28.6,28.16056923,27.34,0.243183139,0.184178176,0.133340043,52.80824222,47.82240841,43.12430889
Equatorial,BAK,62.86254362,20.85257056,8.008136852,28.57,28.15558462,27.46,0.240957017,0.190037661,0.145857789,53.57167222,48.40457494,44.20346481
Equatorial,JAR,71.94601205,24.89930997,9.596388581,27.66,27.01676154,26.52,0.291253853,0.21188724,0.169245607,53.48679306,50.18883527,43.36519531
Samoa,SWA,55.06875511,21.15381429,8.819854457,29.19,28.86034615,27.91,0.1072845,0.051864663,0.021908167,51.3165537,42.36484813,32.09153958
Samoa,OFU,54.60063098,23.40315384,10.31916518,28.93,28.35564615,27.11,0.059004167,0.04481301,0.028478488,49.53239596,41.76351162,32.08459091
Samoa,TAU,54.60063098,23.40315384,10.31916518,28.91,28.39438462,27.15,0.054772875,0.04469412,0.02099784,47.84386667,41.34522149,31.34198906
Samoa,TUT,52.8283729,22.34198298,9.9065478,28.8,28.30459231,27.12,0.079805934,0.060910384,0.043979212,50.25197083,41.58887987,30.81651094
Samoa,ROS,64.12148393,27.1244809,11.14273338,28.83,28.23217692,26.94,0.057400111,0.041295095,0.029210667,51.1332037,42.38569584,32.99322037
