"","X","Year.Tag","Moved","First.Line","Second.Line","Year","Year.Line","Tags","Sex","Closest.Dist","Adj.Year.Avg.Abund","Adj.Line.Abund","Adj.Avg.Abund.z","Adj.Diff","Adj.Line.Abund.z","PI","Adj.Diff.z","Year.Numeric"
"57",1391,"2010-2524.2525","0","501",NA,"2010","2010-501","2524.2525","M",0.26938,7.659313725,3.333333333,-0.93795855,-4.325980392,-1.492126045,"3",-1.21174175203483,2010
"58",1392,"2010-2526.2527","0","113",NA,"2010","2010-113","2526.2527","F",0.85448,7.659313725,9.791666667,-0.93795855,2.132352942,-0.807159455,"3",-0.327546839434104,2010
"59",1393,"2010-2528.2529","0","501",NA,"2010","2010-501","2528.2529","F",0.26938,7.659313725,3.333333333,-0.93795855,-4.325980392,-1.492126045,"3",-1.21174175203483,2010
"60",1394,"2010-2533.2534","0","503",NA,"2010","2010-503","2533.2534","M",0.26938,7.659313725,4.791666667,-0.93795855,-2.867647058,-1.33745617,"3",-1.01208483621562,2010
"61",1395,"2010-2538.2539","0","201",NA,"2010","2010-201","2538.2539","F",0.30549,7.659313725,28.95833333,-0.93795855,21.29901961,1.225644618,"3",2.29651548174425,2010
"62",1396,"2010-2555.2556","0","201",NA,"2010","2010-201","2555.2556","M",0.30549,7.659313725,28.95833333,-0.93795855,21.29901961,1.225644618,"3",2.29651548174425,2010
"63",1397,"2010-2559.256","0","203",NA,"2010","2010-203","2559.256","F",0.19949,7.659313725,20.20833333,-0.93795855,12.54901961,0.297625367,"3",1.0985739873766,2010
"64",1398,"2010-2561.2562","0","203",NA,"2010","2010-203","2561.2562","M",0.19949,7.659313725,20.20833333,-0.93795855,12.54901961,0.297625367,"3",1.0985739873766,2010
"65",1399,"2010-2572.2573","0","111",NA,"2010","2010-111","2572.2573","M",0.84576,7.659313725,11.45833333,-0.93795855,3.799019608,-0.630393884,"3",-0.0993675072648698,2010
"66",1400,"2010-2574.2575","1","202","304","2010","2010-202","2574.2575","M",0.19949,7.659313725,16.04166667,-0.93795855,8.382352942,-0.144288561,"3",0.528125656542792,2010
"67",1401,"2010-2580.2581","0","703",NA,"2010","2010-703","2580.2581","M",0.1143,7.659313725,4.375,-0.93795855,-3.284313725,-1.381647563,"3",-1.06912966932638,2010
"68",1402,"2010-2593.2383","0","201",NA,"2010","2010-201","2593.2383","M",0.30549,7.659313725,28.95833333,-0.93795855,21.29901961,1.225644618,"3",2.29651548174425,2010
"69",1403,"2010-2621.2459","0","203",NA,"2010","2010-203","2621.2459","M",0.19949,7.659313725,20.20833333,-0.93795855,12.54901961,0.297625367,"3",1.0985739873766,2010
"70",1404,"2010-2626.2627","0","111",NA,"2010","2010-111","2626.2627","M",0.84576,7.659313725,11.45833333,-0.93795855,3.799019608,-0.630393884,"3",-0.0993675072648698,2010
"71",1405,"2010-2696.2697","0","113",NA,"2010","2010-113","2696.2697","M",0.85448,7.659313725,9.791666667,-0.93795855,2.132352942,-0.807159455,"3",-0.327546839434104,2010
"72",1406,"2010-2710.2711","0","201",NA,"2010","2010-201","2710.2711","F",0.30549,7.659313725,28.95833333,-0.93795855,21.29901961,1.225644618,"3",2.29651548174425,2010
"73",1407,"2010-2728.2737","0","111",NA,"2010","2010-111","2728.2737","F",0.84576,7.659313725,11.45833333,-0.93795855,3.799019608,-0.630393884,"3",-0.0993675072648698,2010
"74",1408,"2010-2845.2846","0","203",NA,"2010","2010-203","2845.2846","M",0.19949,7.659313725,20.20833333,-0.93795855,12.54901961,0.297625367,"3",1.0985739873766,2010
"75",1409,"2010-2849.285","0","304",NA,"2010","2010-304","2849.285","M",0.65654,7.659313725,13.75,-0.93795855,6.090686275,-0.387341223,"3",0.214379074638961,2010
"76",1410,"2011-2582.2583","0","201",NA,"2011","2011-201","2582.2583","F",0.30549,3.840399003,6.25,-1.584859048,2.409600997,-1.182786295,"3",-0.289589473797849,2011
