"","timesincefire","avg.org","cubeorg","Moisture","ecoregion3","cubePima","burn.name","site"
"366",109,49.55555556,3.67308334653243,"Subhydric","plains",1.83170458849003,"Unburned control","CG3-12"
"367",109,62.5,3.9685026299205,"Subhydric","plains",2.0504334679649,"Unburned control","CG3-12"
"368",109,83.1,4.36382180398796,"Subhydric","plains",1.92993751245153,"Unburned control","CG3-12"
"369",127,32,3.1748021039364,"Subhydric","plains",2.67293109541641,"Unburned control","CG3-30"
"370",66,51.5,3.72050943036845,"Subhydric","plains",1.93958484411812,"Unburned control","CG3-31"
"371",66,36.4,3.31411159268694,"Xeric","plains",0,"Unburned control","CG3-31"
"372",66,30,3.10723250595386,"Mesic","plains",2.68394183618514,"Unburned control","CG3-31"
"373",61,70.3,4.12716445941917,"Subhydric","plains",2.94027408438618,"Unburned control","CG3-32"
"374",132,5.5,1.76517416766303,"Xeric","plains",1.34599276225569,"Unburned control","CG3-37"
"375",42,70.4,4.12912046182547,"Subhydric","plains",0,"Unburned control","CG3-38"
"376",150,40.9,3.44541152942834,"Subhydric","plains",0,"Unburned control","CG3-38"
"377",81,77.8,4.26900371098194,"Subhydric","plains",2.2728434316892,"Unburned control","CG3-40"
"378",91,44.3,3.53835368776025,"Subhydric","plains",2.40895499364131,"Unburned control","CG3-4"
"379",124,26.1,2.96628928134495,"Subhydric","shield",2.31089347445333,"Unburned control","CS-100"
"380",88,11.5,2.257178717737,"Xeric","shield",0.266134008267555,"Unburned control","CS-103"
"381",98,4.8,1.6868653306035,"Xeric","shield",0,"Unburned control","CS-108"
"382",80,3.55,1.5254903019003,"Xeric","shield",0,"Unburned control","CS-109"
"383",95,26.9,2.99629171439091,"Subhydric","shield",2.47221237250481,"Unburned control","CS-130"
"384",140,23.8,2.87646428244683,"Subhydric","shield",2.32443766536658,"Unburned control","CS-26"
"385",146,5.5,1.76517416766303,"Xeric","shield",1.04969899005753,"Unburned control","CS-26"
"386",134,5.7,1.78631598770806,"Xeric","shield",1.35624656479129,"Unburned control","CS-44"
"387",88,5.1,1.72130062072632,"Xeric","shield",0,"Unburned control","CS-46"
"388",74,3.3,1.48880555295383,"Xeric","shield",0,"Unburned control","CS-57"
"389",83,3,1.44224957030741,"Xeric","shield",0,"Unburned control","CS-96"
"390",70,23.25,2.85413373669243,"Subhydric","shield",1.24504386054305,"Unburned control","CS-9"
"391",44,3.35,1.49628711352849,"Xeric","shield",0,"Russell lake","F10-1"
