litter_id,sex,weight,tagwt,year,n1_date,tag_date,grid,food,mother_byear,mother_age,litter_size,growth,bdate,survived_200d,aliveinfall,owner,density,cones
16,M,12.4,62.6,2013,2013-04-07,2013-04-29,AG,1,2010,3,4,NA,95,FALSE,0,0,2.91005291,1.459180287
16,M,13.7,60,2013,2013-04-07,2013-04-29,AG,1,2010,3,4,NA,95,FALSE,0,0,2.91005291,1.459180287
16,F,12.7,60.4,2013,2013-04-07,2013-04-29,AG,1,2010,3,4,NA,95,FALSE,0,0,2.91005291,1.459180287
16,M,12.6,60.2,2013,2013-04-07,2013-04-29,AG,1,2010,3,4,NA,95,FALSE,0,0,2.91005291,1.459180287
17,M,20,78.8,2013,2013-04-07,2013-04-27,AG,1,2010,3,3,NA,93,FALSE,0,0,2.91005291,1.459180287
17,F,17,71.4,2013,2013-04-07,2013-04-27,AG,1,2010,3,3,NA,93,TRUE,1,1,2.91005291,1.459180287
17,M,16,73.5,2013,2013-04-07,2013-04-27,AG,1,2010,3,3,NA,93,FALSE,0,0,2.91005291,1.459180287
18,F,14,63.3,2013,2013-04-07,2013-04-29,AG,1,2010,3,3,NA,95,FALSE,0,0,2.91005291,1.459180287
18,M,13.4,53.3,2013,2013-04-07,2013-04-29,AG,1,2010,3,3,NA,95,FALSE,0,0,2.91005291,1.459180287
18,F,11.3,52.3,2013,2013-04-07,2013-04-29,AG,1,2010,3,3,NA,95,TRUE,1,1,2.91005291,1.459180287
19,M,9.4,56.3,2013,2013-04-09,2013-05-04,AG,1,2010,3,3,NA,99,FALSE,0,0,2.91005291,1.459180287
19,M,9.8,54,2013,2013-04-09,2013-05-04,AG,1,2010,3,3,NA,99,TRUE,1,1,2.91005291,1.459180287
19,F,7.9,55.5,2013,2013-04-09,2013-05-04,AG,1,2010,3,3,NA,99,FALSE,1,0,2.91005291,1.459180287
20,M,9.8,33,2013,2013-04-10,2013-05-06,JO,0,2010,3,4,0.892307692,100,FALSE,0,0,3.048626858,1.853722378
20,M,10,36.2,2013,2013-04-10,2013-05-06,JO,0,2010,3,4,1.007692308,100,FALSE,0,0,3.048626858,1.853722378
20,M,9.6,32.8,2013,2013-04-10,2013-05-06,JO,0,2010,3,4,0.892307692,100,FALSE,0,0,3.048626858,1.853722378
20,M,8.9,34.5,2013,2013-04-10,2013-05-06,JO,0,2010,3,4,0.984615385,100,FALSE,0,0,3.048626858,1.853722378
21,M,11.5,86.6,2013,2013-04-10,2013-05-04,AG,1,2010,3,1,NA,98,FALSE,0,0,2.91005291,1.459180287
22,M,11.1,50.7,2013,2013-04-10,2013-05-04,AG,1,2011,2,3,NA,99,FALSE,1,0,2.91005291,1.459180287
22,M,11.7,52.3,2013,2013-04-10,2013-05-04,AG,1,2011,2,3,NA,99,TRUE,1,1,2.91005291,1.459180287
22,F,11.4,50.2,2013,2013-04-10,2013-05-04,AG,1,2011,2,3,NA,99,TRUE,1,1,2.91005291,1.459180287
23,M,16.8,70.6,2013,2013-04-12,2013-05-04,AG,1,2011,2,4,NA,97,TRUE,1,1,2.91005291,1.459180287
23,F,13.3,61.1,2013,2013-04-12,2013-05-04,AG,1,2011,2,4,NA,97,FALSE,0,0,2.91005291,1.459180287
23,F,15.2,61,2013,2013-04-12,2013-05-04,AG,1,2011,2,4,NA,97,TRUE,1,1,2.91005291,1.459180287
23,M,18,65.8,2013,2013-04-12,2013-05-04,AG,1,2011,2,4,NA,97,FALSE,0,0,2.91005291,1.459180287
24,F,8.6,47.1,2013,2013-04-13,2013-05-08,AG,1,2009,4,4,NA,103,FALSE,0,0,2.91005291,1.459180287
24,M,9.5,52.6,2013,2013-04-13,2013-05-08,AG,1,2009,4,4,NA,103,TRUE,1,1,2.91005291,1.459180287
24,F,7.9,36.4,2013,2013-04-13,2013-05-08,AG,1,2009,4,4,NA,103,FALSE,0,0,2.91005291,1.459180287
24,M,8.4,39.9,2013,2013-04-13,2013-05-08,AG,1,2009,4,4,NA,103,FALSE,0,0,2.91005291,1.459180287
25,M,11.4,NA,2013,2013-04-13,NA,AG,1,2010,3,4,NA,102,FALSE,0,0,2.91005291,1.459180287
